ID,SN,AN,DT,HD,LP
1,NA,NA,NA,NA,NA
2,LetraS,100,2004-11-01T00:00:00Z,Morir como una reina,"Los ojos de Aurora son como las ventanas del metro que lleva el norte de la ciudad hacia su antro favorito, transparente y borrosos por tantas ralladuras de pestañas postizas, rímel y lágrimas; al igual que los cristales del vagón reflejan las luces de la ciudad que también rasguñan sus pupilas. “"
3,LetraS,101,2004-12-01T00:00:00Z,"Género, el nuevo rumbo del combate al sida","Nos da miedo eso que se dice de que los tratamientos te cortan el efecto de las hormonas, que si tomas medicina te tiran el pelo. ¿Si un tratamiento contra el sida no te va a dejar que te inyectes hormonas) pues para qué lo quieres? $i te va a tirar las chichis ¿Para qué? De todos modos, te vas a morir entonces muere como una reina” A sus 28 años y con uno de saberse seropositiva, Aurora es una más de las travestis que viajan los fines de semana hacia los límites del Distrito Federal con el estado de México o hacia Aragón, ¡donde están las principales discotecas que admiten “gente trans”."
4,LetraS,102,2005-01-01T00:00:00Z,Premio al Mérito Gay,"“Las hormonas casi todas son inyectadas: el perlutal, una inyección a la semana; si quieres bubis tienes que inyectarte cuerpo amarillo; para verte buénota por atrás tienes que ponerte mamilas de colágeno. ¿Con tanto piquete quien va a querer inyectarse para drogarse?”"
5,LetraS,102,2005-01-01T00:00:00Z,Prohíben uso de baños a transexual en Prepa 4,"Aurora mide 165 de estatura con todo y zapatillas, es algo gordita y puede ""hacerse bien las bubis' De cabello lacio negro y pómulos elevados, es una mujer orgullosa de su belleza femenina solo afectada por su voz. “Nos da miedo que las otras se enteren, a veces sabernos bien cuál es la otra que lo tiene, pero aun así no lo decimos porque es como confirmarlo y entonces ya nadie te quiere inyectar"
6,LetraS,104,2005-03-01T00:00:00Z,Cuenta conmigo,"Recuerda que después de que su compañera de cuarto desarro16 el virus y lo comentó con su núcleo de amigas ambas fueron relegadas así que Elsa two que irse de la Ciudad y Aurora regresó a Vivir con su madre a la que ayuda en un puesto ambulante afuera de alguna estación del Metro. “Como ella no me quiere de Joto no me deja vestirme, me dice que me vaya de estilista, pero me da miedo por eso de las tijeras y, ¡si le corto el pelo a una señora y le paso el Jugo! (el VH)? Sabe que soy modista y que pongo valses de quince años”"
7,LetraS,104,2005-03-01T00:00:00Z,Tiro al blanco,Entonces la pregunta: ¿qué le dirías al gobierno y a las personas que hacen los programas contra el sida?
8,LetraS,105,2025-04-01T00:00:00Z,Carta abierta a Vicente Fox Quesada,"“De sexoservidora fui a reuniones y lo que nos decían era cómo usar el condón, es como venderle papas a Sabritas o cerveza a la Corona, que no mamen Nadie nos hablaba de tratamientos del sida, y como pues todos le tenemos miedo al jugo nadie preguntaba."
9,LetraS,105,2005-04-01T00:00:00Z,Incluyen orientación sexual en ley chilena contra discriminación,"“Una vive de su belleza y del reven, no tenemos de otra yo a veces veo con mi mama Lo que callamos las mujeres y quisiera ser una secretaria o algo así como mujer pero nadie me dará trabajo, por aquí todos me ven y me dicen que soy un gordito joto. ¿Tú crees que podría abajar de algo vestido de mujer? sólo me queda andar de vestida en hoteles para comprar mi hormona. Entonces; si me quitar las bubis y las nalgonas por «una medicina te diré que no, porque de todos modos me voy a morir con 'juguito' o sin él”"
10,LetraS,106,2005-05-01T00:00:00Z,"Contra la homofobia,
Mantente Cerca","Con el fin de facilitar la aceptación de
jóvenes gays, lesbianas,bisexuales y transgéneros,
reducir la intolerancia y cambiar la mentalidad
y sentimientos negativos hacia la diversidad
sexual, la organización civil estadounidense
Parientes, Familiares y Amigos de Lesbianas y
Gays (PFLAG, por sus siglas en inglés) inició la
campaña Stay Close.La estrategia apela a la fortaleza
de las relaciones familiares, sin importar
la orientación sexual, y su lema es: “Stay close,
because relationships are too precious to lose”
(permanece cerca, las relaciones son muy valiosas
para perderlas). La campaña se apoya en
figuras públicas de ese país, como el actor Ben
Affleck, quien cuenta cómo es su relación con
Jason, su primo gay, o el congresista Richard
Gephardt, cuya hija es lesbiana."
